2020-03-03 00:29:18,"Klobuchar ends 2020 bid, set to join Buttigieg in Biden endorsement ahead of Super Tuesday https://t.co/6182LkHgN4… https://t.co/1uvdN1o1IZ",United States,
2020-03-03 00:29:17,@matthewjdowd How about Klobuchar and Buttigieg going again it Midwestern nice style?,,
2020-03-03 00:29:06,"Buttigieg and Klobuchar Prepare to Endorse Biden, Aiming to Slow Sanders https://t.co/V9upfRvpr2",,
2020-03-03 00:29:05,Pete Buttigieg Reportedly Called Joe Biden Before Dropping Out But Called the Wrong Number - Here Is What He Said..… https://t.co/peDRO1IT5T,,
2020-03-03 00:29:01,A good read! Mayor Pete was good for the left. https://t.co/mReltPxOeB,"Tampa, FL",
2020-03-03 00:28:54,Obama Nudged Buttigieg in Direction of Biden Endorsement https://t.co/myQJxAxq4Y via @YouTube,"Medford, OR.",
2020-03-03 00:28:54,Pete Buttigieg to endorse Joe Biden at Texas rally ahead of Super Tuesday https://t.co/SZGeDY8s4q via @RebeccaMorin_,"Indianapolis, IN",
2020-03-03 00:28:50,LEAKED AUDIO: Voicemail Details Mayor Pete’s Call to Joe Biden To Discuss “Our Plans” Hours Before Buttigieg Droppe… https://t.co/qeHlLMfNwn,MAGA Country,
2020-03-03 00:28:48,"A Moonlighting re-boot, but with Klobuchar and Buttigieg.",Brooklyn NY,
2020-03-03 00:28:48,Trump: Primary 'rigged' against Sanders https://t.co/ZwIbSTnPIC,,
2020-03-03 00:28:47,@StayWonked @ewarren @JoeBiden With both Buttigieg &amp; Klobuchar dropping out @ewarren has a legitimate chance at the… https://t.co/y1wfmPq5eh,,
2020-03-03 00:28:46,"@PatrickHussion @OANN Well… He’s the expert, so he should know. It’s interesting how he equates Amy Klobuchar and P… https://t.co/stKz4s48wR",Davis CA,
2020-03-03 00:28:45,Class Act:  Pete Buttigieg to Endorse @JoeBiden After Dropping Out of Presidential Race: AP https://t.co/JsnolFTIsy via @thedailybeast,"San Antonio, TX",
2020-03-03 00:28:44,"@rongbu @CNN @BrandonTensley I was thinking that today when I saw Klobuchar, and yesterday Buttigieg, suspended their campaigns 😅","Munich, Bavaria, Germany",
2020-03-03 00:28:44,@oxygenliker @ProudResister @ewarren @BernieSanders Biden is the frontrunner now. Bernie only had 6 delegates on hi… https://t.co/lXOssF72Np,America,
2020-03-03 00:28:38,@hollylecraw Biden has 54 delegates. Bernie has 60. Warren has 7. In order for a candidate to get the nomination ou… https://t.co/NMllL0PuQQ,"Hammond, America.",
