2020-03-02 22:49:38,Not sure if it’s Russian bots or not but Bernie Sanders supporters have moved up the most insufferable Twitter group rankings.,"Miami, FL",
2020-03-02 22:49:38,Bernie Sanders is literally older than the attack on Pearl Harbor. #BerntOut,"Charlotte, NC",
2020-03-02 22:49:38,"And then there were 5.

Tulsi powerful intelligent woman of color Gabbard

Senile Pedo Joe Biden

Elizabeth was a R… https://t.co/XwmLzvonn9","OKC, OK.",
2020-03-02 22:49:37,".@onesarahjones: ""The obstacle in the way of a more progressive future for Americans isn’t Sanders, but the coaliti… https://t.co/LIZN0JJGQo",Philadelphia area,
2020-03-02 22:49:37,@aravosis Bernie Sanders = Trump with slightly better hair.,,
2020-03-02 22:49:37,"@aorgat @JoeBiden My wish is for a Bernie Sanders Presidency.

After that it's all you buddy.",,
2020-03-02 22:49:37,"Still, I don't want to make too big a deal of this ideological breakdown. Buttigieg was only polling in the low dou… https://t.co/Lz8xgl968i",,
2020-03-02 22:49:36,@ananavarro @JoeBiden Are you not supposed to be a Republican? Stop talking about Sanders at the end Trump won beca… https://t.co/AaTYmulRWJ,"Boston, MA",
2020-03-02 22:49:36,Israel Ambassador to UN: We Don’t Want ‘Ignorant Fool’ Bernie Sanders in Israel https://t.co/xuX5j2sSCf via @BreitbartNews,"Gibsons, British Columbia",
2020-03-02 22:49:36,@fireflypdp @jaych04 @ambertamblyn @pattonoswalt Many warren fans seem to think it's better to concede to Biden tha… https://t.co/YBz3CRmGNE,"Wyoming, USA",
2020-03-02 22:49:35,"@dababykangaroo @TheEconomist In regards to the division that a trump v sanders general would bring, I personally b… https://t.co/TNMP694NgU","Wisconsin, USA",
2020-03-02 22:49:35,@JanePantsuit @philly_bernie @NateSilver538 Yes her constant attacks on Sanders the last few months speak to unity,"Queens, NY",
2020-03-02 22:49:34,@nikoCSFB Dude you gotta quit this nonsense.  Tulsi has been blackballed since day one and we are entering a crucia… https://t.co/Pvf7KitQIt,"New York, USA",
2020-03-02 22:49:34,@Yair_Rosenberg Biden and Sanders both beat Trump IF WE SUPPORT HIM. I am all in for Sanders BUT you bet your life… https://t.co/jDLhwhaQDm,"Red Bank, NJ",
2020-03-02 22:49:34,"Mark Kelly knows our state. AZ is deeply purple. It will not be a state Sanders can win. I voted for Warren, becaus… https://t.co/jFcgd4cPUL","Tempe, AZ",
2020-03-02 22:49:33,I just did a number crunch on FiveThirtyEight’s latest delegate projections for Super Tuesday. Here are the totals:… https://t.co/bJOV02jHKq,,
2020-03-02 22:49:32,@oldiewankenobe I don’t want Sanders or Trump!,,
2020-03-02 22:49:32,"@kenolin1 @JoeBiden @BernieSanders Oh my, why is there a need for this question?  Struggling?
I've learned much abo… https://t.co/DewmtcNCxr","Right Here, Right Now",
2020-03-02 22:49:30,Someone sent my mother the picture of Bernie Sanders being arrested for a Civil Rights demonstration with the capti… https://t.co/YxHwRbdsdH,,
2020-03-02 22:49:30,"@DearLeaderLorca @DolphinGarage I love it when my two favorite things are mixed, Star Trek Deep Space Nine and Bernie Sanders.","Detroit, MI",
2020-03-02 22:49:30,"@thenation You are right to endorse, and Sanders is a sensible choice, for all the reasons you describe. We are liv… https://t.co/Hu8QnJSW1b",Freeport Maine,
2020-03-02 22:49:29,"@KirstinElaine1 @maydaymindy9 Sadly, I don't think she'll listen and will view your opinion as ""mean"" rather than v… https://t.co/jiKR65blW3","Porter Ranch, CA",
2020-03-02 22:49:29,@Squawkatoo2 @WhistleblowerG1 @IntentionalFood @1980Dorothy @brianhewlett @DWapenveld @democrat2theend… https://t.co/aSLfeWB0JY,Northwest USA,
2020-03-02 22:49:29,@JennaEllisEsq @michaeljknowles @realDonaldTrump @realDailyWire Socialism needs to be defeated. I wouldn’t like to… https://t.co/WolpA33Ixr,"Huntington Beach, CA",
2020-03-02 22:49:28,@JackPosobiec We will see if Sanders wins On Super Tusday. I still see Sanders winning.,"Brooklyn, NY",
2020-03-02 22:49:28,@BLeeForCongress I’m not in CA but I will be voting for Sen. Bernie Sanders. He will be an excellent commander in c… https://t.co/CwhDXfc7W4,Land of Cheesesteak,
