,text
0," @_noncompliant_ lol 

sanders talks a good game but when confronted with gender pay inequity prob… "
1, it's a distraction not even sure where this came from and why it is showing up before super tuesday… 
2,spent the whole day thinking my wife supported joe biden turns out it was a misunderstanding 
3, msnbc if biden is nominated remember his admin wld be run by younger marxist/leftist dems th… 
4, i say that as someone who voted for sanders in did not vote in the general in nov … 
5,if the ge hurt you just wait for when some combo of trump jr/desantis/hawley/cruz pummel biden (assuming he beats trump)
6,i wonder how women are going to feel when they remember joe biden is prolife
7, is that eric’s “subtle” way of saying that there’s no way his father is getting anywhere near a deb… 
8,"""make american moral again"" biden replied when asked by abc's good morning america coanchor robin roberts if he h… "
9, oh i absolutely agree but for the sake of argument let's pretend that they're right and that there… 
10, wasnt that his first state like biden won one state
11, _hayley 🤔pssst trump the skunk is terrified of joe biden
12,joe biden literally said he’s running for the senate fools losin it 
13, all biden has to do it beat dukakis in the primary and hw bush in the general piece of cake
14, biden can not beat trump so there is no configuration in which he's what we ordinary p… 
15,analysis: biden rallies establishment in bid to turn back sanders via 
16,tim kaine is endorsing joe biden cue stephen a smith
17,good video remix of some of biden's dumber statements 
18,bernie should just flatout declare biden to be a right deviationist and unrepentant capitalist‐roader within the party just do it
19,pete riding in to endorse biden like: 
20, no the country is fine biden is a crook and you know it you see it
21, at least he's got plans though he and warren seem to be the only ones t… 
22, join biden you cannot buy our votes
23, i'm for warren but i'm trying to be equal about re tweeting everybody's preferences even bernie i… 
24, did biden offer him a position in his cabinet
25,never thought i would cringe so hard hearing the name joe biden
26, my head says vote for biden knowing he’ll bring in a woman o… 
27,i’m really over this bullshit narrative that biden is the candidate who will beat trump trump is going to weaponiz… 
28, perfect pair biden one term pete two terms uniting americans earning the trust of the world 
29, biden will surge in ca
30, _nye … 
31,"__ future girl 

i know you just blocked me but the facts can not b… "
32, warren wouldn’t be a good pick for vp bc her tenacity &… 
33, biden doesn’t need any help
34,biden gets bump as klobuchar exits democratic race via _newarab 
35,_wellman_ joe biden rising in the polls
36, absolutely that would be an awesome cabinet for biden
37, when i see a commenter on social media with biden or go biden i do not want to be involved a per… 
38,feels like the conventional wisdom has swung way too far the wrong way now and people are hugely underestimating th… 
39, you are a fraud and you know it stop assisting the biden camp and drop out so you can save yourself a shred of decency
40,trump as much as the dems loath him is a prizefighter and i don’t think that biden is the best we can offer to c… 
41, he’s going to show his injuries from when biden whipped him with a chain
42, so weirdbiden is polar opposite
43,super tuesday is tomorrow and biden's team has still put out nothing substantial the message is clear: to biden… 
44, what do you think about every democrat in the race now picking biden over bernie you think that maybe i… 
45,"that existed under obama will like come again i do not call murder provocation ""success""biden cares only about himself"
46," _conservative how do you go from + to needing hrc to ""save"" the party (& nation n… "
47,did i wake up in a rd world country because biden is a third world candidate 
48,fuck joe biden
49, biden can not beat trump so biden voters should just admit they want trump to win but are… 
50," this is their playbook
we can get upset but this is red meat for their base
they will remind everyone… "
51,translation: in chance of a biden nomination time to replay in the general but without the sexism 
52,"prediction: 
a) dnc throws bernie under the bus
b) trump has been preparing for biden for years shreds him in deb… "
53,importantmore proof positive of joe biden’s corruption 
54, biden has the best chance of winning the swing states they definitely dont want bernie and that is a fact you can not dispute
55," _is_like really joe biden is gonna achieve something in what 

i'm sure he'll reverse al… "
56, he with the establishment will it’s unbelievable when joe biden doesn’t even kn… 
57, biden has shown zero inclination to reform or change the system in his long career he has b… 
58," _teal perhaps you're right in which case he's a fool 😅

ukraine/burisma provides a ready m… "
59, either biden beats you or trump does
60,me this morning seeing the democratic bullshit going on after i made a bet months ago that biden wouldn’t be… 
61, voting for biden proves otherwise
62," reasons

with klob and pete out (but not warren) dropping out and biden really actually moving up in th… "
63, if you remotely think is your candidate then buck up… 
64, would not his neo lib ways go great on a biden ticket (snark included)
65, unless it's by accidentally making biden the candidate
66,_ i’m ok with it as long as they’re all endorsing one/the same democrat candidate honestly i’m not as con… 
67,why has not jill biden taken joe to be assessed for dementia he sounds like trump 
68,_medco he's just afraid if joe biden get the backing of amy klobucher and pete bittigieg's followers it will s… 
69,"warren or sanders is better than brain dead biden 

qanon"
70, to be fair biden puts out negative ads every time he opens his mouth on camera he's losing his mind
71, newer voters need a quick biden history lesson
72,_lulu independents have already been very clear who they trust and i'm positive that biden will no… 
73," also odd is the implication that ""rank and file"" dems chose bernie over hillary in ' a… "
74, i hope this comes out soon america needs to know the tru… 
75, biden is only supported by losers acros the board
76,biden would be crushed by trump in a debate 
77,i’m with joe biden i’m for joe biden
78, more like the first half of that sentence personal income taxes were already at a manage… 
79,newsflash: joe biden shockingly lost the nomination after telling his followers that the primary was on a thursday 
80," i feel sorry for the guy

instead of being remembered as the lovable obama bffwell i'd rather not… "
81, he can and even if he will not biden will be crushed by trump
82, the problem is no one likes msnbc any more i used to love it but after listenin… 
83,biden go joe 
84, so your contention is joe biden is a conservative
