,text
0, also notable that many of those early votes went to a buttigieg and klobuc… 
1, or add buttigieg and klobuchar and % of warren’s and then compare to bernie’s and you’ll see how foolis… 
2, porky pig got it all wrong again you're making your money on guessing like a blindfolded monkey p… 
3, *deletes my buttigieg for vp stan account
4,"_mi yep principles matter more than labels every time

doesn’t mean i had to think buttigieg was qualifie… "
5, assuming all warren supporters joined bernie which they wouldn’t you still have kloba… 
6,just like in the [nwo] is going to ride a dying horse into oblivion if d's nominate biden with someone like… 
7,"buttigieg and klobuchar couldn’t stop attacking each other at the nevada debate 
fbr"
8,"biden nowhere
sanders manhattan
warren ds
bloomberg pauleys
klobuchar church
(honorary mntns
buttigieg … "
9,the shit will get real when biden chooses buttigieg 
10,for sale: pete buttigieg shirt lightly worn also for sale apparently: pete buttigieg
11,“every candidate is percent inittowinit until the very second they drop out just moments before buttigieg… 
12,some coloradans lost their vote when major candidates like buttigieg and klobuchar dropped out right before super t… 
13,feel like the real reason i hate pete buttigieg so much is he's what i could have become if i was more of a grade g… 
14, «dnc confirms pete buttigieg is a failed obama clone»
15,_dp _slinky it's nice th… 
16,"_ghost_rat president: joe biden

vp: stacey abrams

attorney general: kamala harris

secretary of defense: pete… "
17, don’t forget buttigieg accepted that envelope he tucked into his jacket afte… 
18,this is quite frankly borderline antisemitism schumer is ny jew paraphrasing the torah in modern syntax it would… 
19," i mean i do not know about ""camped out"" but at least made an effort at messaging he got of… "
20, i want my political volunteer work to be done under pete butt… 
21,joe biden broke the law by offering buttigieg a job in his administration 
22,"sometimes you need to wait to see how it all plays out

our democracy this year depends upon it 

"
23,bloomberg and buttigieg left the presidential race to support biden it is ok anyway trump still holding the num… 
24,"provincetown ma results:
biden: %
warren: %
sanders: %
bloomberg: %
buttigieg: %"
25,"klobachar buttigieg bloomberg and beto supporting biden =/= corruption

trump only has power because the gop %… "
26, rep aoc yes but the toxicity here & irl caused permanent damage buttigieg & we his supporters were targets… 
27,a few months ago i had a dream where i was screaming at pete buttigieg to drop out of the race my oneiromantic pow… 
28, here is every post/retweet i… 
29,_gurung i think this whole primary should have been between sanders an… 
30, minute is up he’d be better off with harris klobuchar or buttigieg
31," picked biden and buttigieg was my ""why"""
32, _slinky y'all fools really thi… 
33, sanders supporters helped sink buttigieg by constantly pushing the narrative that he could not attract b… 
34,i miss pete buttigieg 
35, _o i would dis… 
36,here's what happens to the dropouts' delegates via 
37,saw this comment by a yr old on pete's insta and it brought tears to my eyes via /r/pete_buttigieg… 
38, this is only in the case of a brokered convention which is seeming… 
39,"▪president obama has not endorsed sanders nor anyone else
▪calling buttigieg beto klobuchar and others the “esta… "
40,mike bloomberg pete buttigieg and amy klobuchar were making joe biden look hella tolerable and now they’re gone j… 
41,mark alexander: a bidenbuttigieg ticket — the patriot post 
42, accurate appraisal he also maxed out to buttigieg there’s a metaphor there somewhere
43, i get woman potus at all costs and angry about it vibes not my cup of tea biden/ buttigieg… 
44, uuuuuuuuuuuuugh were going to deal with pete buttigieg again pls no
45, except you're forgetting that klobuchar pete and war… 
46,_next right i think they tried to text me but anyway this election cycle was the on… 
47,"_sergio it's funny when warren loses its because she's just terrible
when bernie loses it's because of… "
48,serious buttigieg energy 
49, i'm talking about in life biden and klob were lawyers buttigieg gra… 
50,uh o 🙄 looks like old man creepysenilecorruptjoe may be in legal trouble read this to understand why us cod… 
51,i leave twitter for a few days & pete buttigieg & amy klobuchar both quit jeez
52, we had (& still have) a generally kind supportive community around pete buttigieg who made a point o… 
53,i just learned how buttigieg is pronounced before this i thought it was different petes
54,irony is party which tries portraying uprightness is controlled by mobsterlike party bosses favoring biden & purg… 
55, is it possible that bloomberg buttigieg & klobuchar were put into the race as spoilers otherwise… 
56,joe biden has received the endorsement from bloomberg buttigieg amy klobuchar kamala harris julian castro and m… 
57, suddenly regretting all the times i dunked on buttigieg yup they win he’s worse
58, yeah well if you're running for president you're gonna need money lots of it show me evidence o… 
59,_vhc _charles you bet love buttigieg love biden
60,"yeah bernie is wrong biden actually has billionaires as of march oops what a goof
 "
61,joe biden broke the law by offering buttigieg a job in his administration 
62, _gear it's a hit job buttigieg and bloomberg were plants to make sure bernie ne… 
63, buttigieg sleepy mike flava flav takes a hike covid on the shore let's have another cola war
64, there was talk already that the dnc had spoken with buttigieg
65,"thank you mike bloomberg amy klobucharpete buttigieg 
for being the class acts you have always been your guidanc… "
66,lmfao and you all think people should vote for biden even worse people catch on and he knifes buttigieg to try to buoy his campaign
67, i trust her just as i trusted buttigieg harris and castro my other heart… 
68, it’s so true for some reason the msm was treating klobuchar and buttigieg as more viable candidates e… 
69,"after super tuesday joe biden should consider pete buttigieg for vp via 
this needs to be everywhere"
70, buttigieg but i’m glad he pulled out as i would like to see him gain more experience
71,_stevens_ the lgbt community hates pete buttigieg
72, that kind of wait is ridiculous election day is election d… 
73, vice president pete buttigieg i'm thinking a women vp
74,"how did sanders expect to win south carolina that’s a fundamental misread of the state and its politics

also cl… "
75,the biden buttigieg bloomberg and klobuchar factions have joined forces 
76, bernie sanders revealed as the pos i always told you he was tho vicious attacks on buttigieg warren ob… 
77,biden needs a coach to give him set plays for when trump brings up hunter/burisma comebacks as good as when pete… 
78, _ricej and klobuchar & buttigieg had no path out bcuz african americans ov… 
79,nah niggas being horny for buttigieg bernie and namjoon all at once i think its time for me to log off
80,_murphy im not usually in the convincing people to vote for my guy business what im saying is i u… 
81,updated ~ presidential election democratic convention nominating process… 
82,buttigieg thirst tweets on the tl
83,_siskind yeah i donated to & & would want them on the ticket however if … 
84," _bear it literally says “rat bastard” 

virgil took… "
85," i'm on team bernie so y'know dirty leftist commie here

that said warren is prob still in the race… "
86, i'd hardly call klobachar and buttigieg establishment democrats your whining is going to cost us th… 
87,a slurring trump calls for buttigieg and klobuchar to be impeached for endorsing joe biden … 
88,biden did not do any of it the dnc leadership clinton and obama did it by getting buttigieg and klobuchar to drop… 
89," scary is that all these democrats have a sociopathic/ psychopathic type look to them

👉 pete buttigi… "
90,joe biden offered pete buttigieg a job in his administration and may have broken the law doing so… 
91,_ i feel buttigieg had well intentions but he was always been attacked from all directions
92,ctier: kamala harris beto o’rourke pete buttigieg amy klobuchar joe biden cory booker john hicklooper steve… 
93, @_sjpeace_ i see the correlation though warren and sanders are the only real progressive candidates bid… 
94, note that buttigieg voters go to sanders disproportionately as well though not by… 
95, oh i have a slew of candidates i’d prefer but he’s my favorite between him and biden i’d vote warr… 
96,_ speaking of young would buttigieg have been a better pick i'm just curious on your thoughts… 
97, in my skeptical buttigieg piece while i was correct in the main and allowed for the possibility of… 
98, but before that imagine a sanders/biden debate sanders will destroy him i legit cannot imagine b… 
99, the polls & media ignored the fact that biden was leading the polls… 
100,"new sex video on my site a little suck it will be wet 
 police buttigieg "
101, saw that coming at least the only candidates that have not done this yet were klob and buttigieg bec… 
102,sanders on financial policy warren on foreign policy biden bloomberg klobuchar harris and buttigieg on an island somewhere
103,a slurring trump calls for buttigieg and klobuchar to be impeached for endorsing joe biden via 
104,klobuchar and buttigieg were likely promised a position in the biden cabinet in exchange for their endorsement… 
105, _the you coulda had a buttigieg 😭😭😭 
106, sorry if it seems like you have to walk on eggshells just to ask a fair question i'm a warren supporter (… 
107,my new greatest fear is that my future kid is gonna rebel against me by turning into someone like pete buttigieg
108,procedurally warren (and everyone else really) should push bernie on the filibuster the one thing blocking any re… 
109,now that buttigieg klobuchar and bloomberg have withdrawn and backed joe biden it now looks as though joe biden… 
110, i worry that he needed a boost from the media and klobuchar's and buttigieg's endorsements to really br… 
111," my ""short"" list would be: buttigieg klobuchar glillum landrieu harris or booker i like them all"
112," the votes were not rigged
the process is
bloomberg forced to debate
attacks socialist bernie
buttigieg… "
113,_xoxo i get that but then that means buttigieg would be looking the best rn deadass he would of b… 
114, you’re right about kamala he… 
115, pete buttigieg set the lgbt community back a years as he constantly condemned christians whi… 
116,joe biden offered pete buttigieg a job in his administration and may have broken the law doing so 
117,biden buttigieg and klobuchar backed by vulture funds set to profit from puerto rico – sludge 
118,i mean buttigieg is very hateable i see her there but she only hates him because he’s gay
119,this would have made a great tv commercial for the gop against berniebut lo it will not be necessary… 
120, pete buttigieg there's more diversity in the world than just skin color you all forgot that when pe… 
121, _jordan that's not true buttigieg was not a millionaire and… 
122, i don’t understand how people could get inspired by buttigieg or beto o’rourke the latter has a simila… 
123,you forgot someonepete buttigieg 
124,does anybody know if it’s true that a pete insider posted something (and deleted) stating how buttigieg dropping ou… 
125, you dont think if there was someone with buttigieg’s age b… 
126,"""if pete buttigieg won the nomination he would pretty much be running as a republican that's how moderate he is… "
127, i am curious to know what your favorite play or musical is 
128, i mean really is there any significant difference between bloomberg and trump b… 
129,warren doesn’t owe bernie anything or vice versa nor do warren supporters owe anyone anything but if it’s big st… 
130, i blame warren but not nearly as much as the media the voters obama buttigieg klobuchar… 
131,the app was used by the pete buttigieg campaign and it declared pete the winner pete also declared victory with… 
132,buttigieg endorsed biden after reportedly speaking with obama via 
133,"buttigieg the first openly gay presidential candidate was hated by the left why

"
134, the big winners on super tuesday were buttigieg klobuchar and o’rouke for coming out and supporting b… 
135,i have not seen a single tweet by any bernie warren buttigieg or any other supporters insulting older black voter… 
136, i supported harris and buttigieg but i prefer biden who won’t… 
137, blah blah nothing blah blah high horse blah sorry you remind me of pet… 
138,and we're confronted with a possible pandemic of a disease that primarily affects older men and buttigieg and kl… 
139, _wjs _franczak was not this a pete buttigieg article last week
140, imho they were right to worry biden is cle… 
141,"""weekend at biden's""
 joe biden
 pete buttigieg 
 amy klobuchar
 he has dementia… "
142,the real winner in addition to the american people on super tuesday was could not agree more with… 
143, the million voters aren’t true establishm… 
144, ah the lies bernie bros tell themselves can only speak for myself and my observations: the ealry vot… 
145,"pete’s campaign was proof that america does evolve toward goodness:



(great article but ca… "
146,this is the best case scenario electoral college map for dems in november and i can see this landslide win happeni… 
147,“pete buttigieg’s candidacy meant a lot to lgbtq christians like me” utm_campaign=vox&utm_… 
148, _macc look how far buttigieg got simply off of the back of the all the free pr… 
149,pete buttigieg hasn’t changed his twitter bio about running for president what a nerd
150,baron likes pete buttigieg maketrumpnervousinwords
151,i'm not even american but peter buttigieg dropped out of presidential race kinda makes me sad on the surface he's… 
152,after the st results it’s clear biden has the momentum due to rep clyburn and pete buttigieg offering their endors… 
153,spoiler alert: it’s intheheights exclusive: as pete buttigieg suspends campaign we disclose his favorite music… 
154,"_brown suspected dynamics
 disbelief that bernie can beat trump oneonone
 belief that bernie was poll… "
155,"pete buttigieg just endorsed this man
but be mad about “gblt” "
156,column: mayor pete buttigieg’s run was proof that america can and does evolve toward goodness 
157,honestly my takeaway from this thread is that white liberals can’t be trusted… whether they voted for biden butti… 
158, that would be woodrow wilson when he ran but… 
159, was it a flip from bernie or more that biden got more bloomberg klobuchar & buttigieg voters
160," every news show tonight was bent over backwards to provide bernie with ""free press"" because he snivelle… "
161, that’s ol black mtn buttigieg for ya
162,i’m curious about how much money and the paid pete buttigieg and amy klobuchar to drop out and endor… 
163," i like buttigieg's answer to what he would do if trump refused to leave
“i guess if he’s willin… "
164,": obama>obama
: obama>obama
: o'malley>clinton
: buttigieg>biden

should be noted that some of… "
165, “no longer competing with buttigieg” that was a day before super tuesday he had no money heading i… 
166, i like how this article explains it 
167, please stop this biden won va especially northern virginia for one reason pete buttigieg his sup… 
168,bernie sanders hillary clinton joe biden michael bloomberg tom steyer aileen wournos kamala harris corey booker pet… 
169, sanders dropping out is not going to change the rift in the democ… 
170," the establishment is:
the msm full throttl… "
171,after buttigieg bloomberg klobuchar and o’rourke endorsing biden this gif reminds me berniesanders… 
172,_lefty _slinky and trump can’t pronounce simple wor… 
173,pete buttigieg’s campaign normalized being gay and openly christian lgbt advocates say the washington post 
174,"it's the first time i really listened to ""high hopes"" tonight and it's hilarious how buttigiegcore the lyrics ""mam… "
175,what’s important to consider in is not who is most likely to win and therefore fill rbg’s seat but who suppo… 
176,with buttigieg and klobuchar out the odds that coronavirus does a clean sweep of the presidential field is starting to look pretty good
177,_lefty _slinky brandon was referring to buttigieg'… 
178, _manne it's hard to put a number on it but i find amy klobuchar + times more charismatic than p… 
179,"buttigieg is like me trying to parrot a scandinavian accent after i watched vikings for the first time 

only i do… "
180,"i’m still in shock that the dnc and the media decided to prop up joe biden

they could have picked buttigieg and t… "
181,it is not sleepy joe the dnc or buttigieg and klobachar who screwed bernie over this week it's pochahontas and s… 
182, oh for pete buttigieg’s sake he doesn’t remember what day it is how will h… 
183,please news media the klobucharbuttigiego'rourke endorsement of biden is not the avengers assembling it's not even the justice league
184, “after i volunteered for peter buttigieg’s campaign you wouldn’t believe what happened”
185,_morison i'm impressed but you know i'm not the final buttigieg it's all about how you cast(ro) the perfect l… 
186,i had to stop watching and listening to crooked media podcasts cause they just didn’t get me so this is nice to hea… 
187," _capt too late they insulted us so much
see wht happened everybody voted for… "
188,truth hurts you coulda had a buttigieg 😭 
189,joy doesn’t support women especially women who don’t agree with her bias ask the black women of south bend and o… 
190,_ yea the guy with the most billionaire donors superpacs and the obvious support of the dnc was bro… 
191, the accurate word is momentum cause it could change next week first it was buttigieg in iow… 
192, buttigieg changes how his name is pronounced based on what he thinks people like better so there'… 
