,text
0,klobuchar ends bid set to join buttigieg in biden endorsement ahead of super tuesday … 
1, how about klobuchar and buttigieg going again it midwestern nice style
2,buttigieg and klobuchar prepare to endorse biden aiming to slow sanders 
3,pete buttigieg reportedly called joe biden before dropping out but called the wrong number here is what he said… 
4,a good read mayor pete was good for the left 
5,obama nudged buttigieg in direction of biden endorsement via 
6,pete buttigieg to endorse joe biden at texas rally ahead of super tuesday via _
7,leaked audio: voicemail details mayor pete’s call to joe biden to discuss “our plans” hours before buttigieg droppe… 
8,a moonlighting reboot but with klobuchar and buttigieg
9,trump: primary 'rigged' against sanders 
10, with both buttigieg & klobuchar dropping out has a legitimate chance at the… 
11, well… he’s the expert so he should know it’s interesting how he equates amy klobuchar and p… 
12,class act: pete buttigieg to endorse after dropping out of presidential race: ap via 
13, i was thinking that today when i saw klobuchar and yesterday buttigieg suspended their campaigns 😅
14, biden is the frontrunner now bernie only had delegates on hi… 
15, biden has delegates bernie has warren has in order for a candidate to get the nomination ou… 
16, _diaz _polls _inc low information voters might still vote for buttigieg he’s still on the ballot
17,biden of the remaining candidates never really had beef with klobuchar or buttigieg thus makes sense why he is… 
18,here's a pitch for a new show to fill the slot: the steve kornacki / pete buttigieg power hour
19,trying to figure out how my dad is both a / truther and a buttigieg supporter
20,pete buttigieg and amy klobuchar are throwing their support behind joe biden after dropping out of the race th… 
21,"colorado _inc poll (//):
sanders %
warren %
buttigieg %
biden %
bloomberg %
klobuchar %
othe… "
22,klobuchar buttigieg to join raekwon the chef on stage on super tuesday eve
23,and then warren and buttigieg call themselves progressives and say they stand for the same things but then will not back him
24, smart move by joe biden and we need super smart people like pete buttigieg young… 
25, voted early in nc hubby and i split our votes buttigieg and biden
26,aha february data says buttigieg's supporters report their second choice as % warren % bloomberg % biden… 
27,this is the best article i’ve ever read 
28, _michaelson oh you mean like warren and buttigieg supporters did bernie supporters
29, from the beginning before biden even officially joined the campaign i’ve said the ticket is biden… 
30, she lost to buttigieg in sc and got fewer black voters than him he's an overt racist and she picked… 
31, wasn’t perfect but he was brave stanford politics’ very own reflects on buttigieg’s hi… 
32, buttigieg's at home on line picking his new house out right now 😂
33, my dad just pinged me saying he is super angry as he pre voted buttigieg in cali just before he dropped
34, i got different mailers in as many days from bloomberg last week been getting texts from biden… 
35,steyer buttigieg klobuchar and now chrismatthews: this weekend’s death toll on the left is staggering
36,<for months> “buttigieg is a rat faced ratty rat i bet he eats cheese whatta little rat with a dumb rat dance im… 
37,_diaz _polls _inc i do not think that'll actually be the case as buttigieg is set to endor… 
38, tunedin for buttigieg and klobuchar commentary instead got this stunning turn of events
39,on politics: biden reshuffles the race 
40,so i just saw buttigieg pictures with a beard and i having feelings suddenly
41,lmao fuck off via 
42,_cammm obviously it does not help to remove trump to not have those votes but it also does not help these peo… 
43,well it looks like democrat voters and politicians are talking up joe biden that’s why buttigieg dropped out they… 
44,bernie when biden was endorsed by both buttigieg and amy whatever her name is 
