,text
0, i like her because she’s extremely intelligent and can talk other candidates off the stage on issu… 
1,i think would be an amazing first lady this goes to prove that teachers really are superheros… 
2," running mate 
amy klobuchar
running mate"
3,bernie sanders hillary clinton joe biden michael bloomberg tom steyer aileen wournos kamala harris corey booker pet… 
4,_siskind amy i saw your interesting comments last night about a biden vp pick who would you like to see (amy… 
5, sanders dropping out is not going to change the rift in the democ… 
6,after buttigieg bloomberg klobuchar and o’rourke endorsing biden this gif reminds me berniesanders… 
7, holy shit did you see when klobuchar bought up all the railroads that was a boss move and the co… 
8, i would of voted for amy klobuchar if she had not dropped out
9, can we discus why will he pick a sitting senator is going to be hard enough to take senate so why g… 
10," yea that's why he promised buttigeg warren and klobuchar his vp spot

joe forgot on… "
11,with buttigieg and klobuchar out the odds that coronavirus does a clean sweep of the presidential field is starting to look pretty good
12,i have a lot of respect for amy klobuchar 
13, _manne it's hard to put a number on it but i find amy klobuchar + times more charismatic than p… 
14," some portions of mn use ""mailin"" exclusively my quick review of those areas con… "
15,please news media the klobucharbuttigiego'rourke endorsement of biden is not the avengers assembling it's not even the justice league
16, klobuchar would carry the much needed midwest
17,amy klobuchar has dropped out of the democratic primary and is now pursuing the role as ceo of twitter riptwitter 
18, _sophie_why _danl i believe the name joke you were looking… 
19,"_siskind a woman for the sake of having a woman

not amy klobuchar

kamala harris for vp

biden… "
20, and so many pundits claim that klobuchar’s abuse of staff would never have been brought… 
21,"“in the style of my heart will go on”

🎼near far amy klobuchar🎼"
22,klobuchar just finished explaining on msnbc how she helped biden win supertuesday just after he refuted bernie's… 
23,the klobucharbessler family is allamerican a family comprised of members who love each other and support excell… 
24,"using amy klobuchar’s talking points
plagiarizing just like trump
🙄😡🤦🏼‍♀️ "
25, my lifelongrepublican mom is almost and voted for amy klobuchar because she wanted to vote for a… 
26, lots of people decided at the last minute after klobuchar and buttigieg endorsed
27, _ do not tell me what i'm doing i may support bernie over biden rn but @… 
28, i think she will be i hadn’t thought of biden/beto actually i’m thinking it’ll be biden/klobuchar or… 
29," _gold the first thought that crossed my mind when reading the part about a klobuchar comic was ""is… "
30,"the electoral benefits of coalition building 

imagine how differently things would have gone down if biden fans s… "
31, i think you mean delete your own tweet bloomberg was pressured to wrap it upbuttigieg a… 
32,you guys might not know this because she hardly ever talks about it but amy klobuchar actually started her preside… 
33, i do not know if calculating buttigieg and klobuchar really counts
34,_siskind susan rice stacey abrams amy klobuchar my top picks
35,amy klobuchar avoids question about becoming joe biden's vice president via 
36,_siskind i’d take warren over sanders any day biden and klobuchar are caring decent and smart hard to decide 🇺🇸
37, this sort of wordsmithing is unwarrented come one kamala to booker (or him) for such transgress… 
38, which one was your choice for president does not choosing the other makes you a mi… 
39," _skibenes warren underperformed placing rd th th & th in the first four contests

her ""e… "
40, if she did not drop when klobuchar and pete did she had to know she would be helping biden just look at… 
41, i hope biden warren klobuchar and buttigieg show up at her town halls to give her a boost up she’s amaz… 
42,i don’t know how to pronounce klobuchar
43, but the women options were elizabeth warren and amy klobuchar
44, senator klobuchar you are a class act
45," i think biden goes with kamala harris or amy klobuchar
i wouldn’t bet against corey booker for sanders either"
46, warren was sabotaged by the press they ignored her for all the old white dudes and would rather talk about b… 
47, probably gonna be biden/klobuchar
48, joe only does well in ultra conservative red states that will not go to him… 
49,"i just can not get excited about two old white men

i'll dutifully show up at the ny primary and of course the elec… "
50, i often heard them mention the folks (even) at the bottom but strangely usually just the me… 
51, do they so what was all this about a contested convention realistically the dnc stron… 
52, that makes the case for harris as vp over warren or klobuchar ca is solidly blue with a dem governor s… 
53,i agree thank you for speaking up and for your discernment warren klobuchar elections politicstoday… 
54, thank you john and abigail for sharing senator klobuchar with the rest of us
55,rigged in that it was by design (not serendipity for sure) having buttigieg & klobuchar dropout virtually at the s… 
56, i was for bernie last time around but there were a lot of great candidates this ti… 
57,_packard conveniently warren and klobuchar are both currently members of a legislative body that would allow… 
58," half the states holding primaries on super tuesday were in the sourh

if you're going to be combining war… "
59,i am so proud to be a supporter of amy klobuchar what she & her team accomplished with zero name recognition & a f… 
60,"according to amy goodman of ""biden’s strong showing came after the democratic party establishment c… "
61, or amy klobuchar kamala for ag and stacy for education secretary 🌊🇺🇸🧢
62," thank you for the grace you have shown and your love for the usa you made us all proud
amystillknowsme

a… "
63, hey there michaelmoore stfu go home take a bath try a shamp… 
64, yeah we are supposed to believe i… 
65, wrong and she explains how she’s going to pay for what and she had the best plan for black americ… 
66,i have never supported buttigieg or klobuchar but dropping out right b super tuesday is a low shitty move bc that… 
67, the same polls show that buttigieg and klobuchar voters go to sanders more than bi… 
68, he will he just added the bulk of klobuchar buttigieg and bloomberg… 
69,more than thousand palm beach county votes have already been mailed and received in the democraticprimary… 
70, there was no biden surge it was manufactured surge by forcing out buttigieg and klobuchar they end… 
71,"bernie keeps saying that in order to win the old ways do not work
klobuchar ran an old school retail campaign with… "
72, aoc and sanders are a perfect match it’s a match that will undoubtedly turn many centrist off but they’re… 
73," you said klobuchar *would* do better presumably on super tuesday
 warren had more delegates t… "
74,"biden / clinton ticket here it comes
who'd have guessed it everybody

dnc screwed bernie again t… "
75, interesting you said kamala harris and not amy klobuchar amy made it way farther than kamala and gets no credit
76, i will happily down vote blue all the way just not biden anyone from buttigieg to klobuchar but not him
77,"this is useful information 
supertuesday
nosurrender

"
78,joe biden insists bernie is wrong when he says the establishment propped him up and that it was african amerucans… 
79,"trump calls for buttigieg & klobuchar to be “impeached” over biden endorsements
usa republicans 
“quid pro quo… "
80,the radical democrat party just paid off mayor pete klobuchar to just now drop out of the race even when they… 
81,also i have a psychological need to see martha stewart kick the shit out of amy klobuchar
82,in the last debate warren slammed klobuchar by saying her website only had “two paragraphs” describing her health… 
83," ""the primaries have yet to demonstrate that sanders can generate the hugely expanded turnout his campai… "
84, _john that was when klobuchar bloomberg and buttigieg… 
85, nope he gets % the rest go to biden buttigieg and klobuchar (which is basically bid… 
86,__ you peep how klobuchar & bloomberg dropped out
87,"how biden became the consensus choice for moderates:
um biden lol just joking
beto
deval he looks like oba… "
88,"trump should be in prison
"
89,"biden‘s supporters:

 beto o’rourke 
 pete buttigieg 
 amy klobuchar 
 cher
 mike bloomberg

sander’s supporte… "
90, if hrc is a lock for biden's running mate what was klobuchar promised for abruptly… 
91, _slinky did you happen to notice that klobuchar and butti… 
92, bernie sanders has introduced… 
93, i sound like amy klobuchar on repeat with that point but i really do believe it
94," i am a man & i voted for hillary clinton in 
i was really hoping to be able to vote for amy klobuch… "
95,facetimed with my newborn niece and my sister just now and my niece was utterly transfixed with amy klobuchar on tv
96,_sam _melbin biden accused him of ageism then said he'd let voters decide if he's in cognitive decline… 
