,text
0,th bloomberg yea he's a racist just give em some money they'll vote for satan if he pays enough agenda payo… 
1,amy klobuchar dropping out the day after pete is so funny 😭 she really had to give him one big fuck you even when he quit
2,super tuesday: four things to watch now klobuchar and buttigieg are backing biden 
3,amy klobuchar has dropped out of the presidential race to spend more time pursuing her passion: mistreating subordinates
4,why buttigieg klobuchar are getting out of the way 
5,"byron york: do not assume buttigieg klobuchar voters will rally around biden

"
6,the democratic party establishment really should have consolidated around amy klobuchar the most articulate messen… 
7,i know this is an unpopular opinion but i liked klobuchar when she was a stone cold terror like i might have vot… 
8,"right but strike klobuchar 

good god there were so many candidates and now it’s getting thinned down in a hurr… "
9, pete and a klobuchar were mostly redundant warren occupies a somewhat unique space betwe… 
10,"tweet from 
 campaign event in dallas tx live at :pm et on cspan … "
11,chris matthews resigning is the best news i got today and klobuchar dropped out
12,beltway dems in full panic about a sanders presidency wonder what they had to promise klobuchar
13, he already endorsed he was afraid of klobuchar 💀
14,pete buttigieg amy klobuchar and beto o'rourke are throwing their support behind joe biden after dropping out of t… 
15,pete buttigieg amy klobuchar set to endorse joe biden at event in dalla via … 
16,pete buttigieg amy klobuchar judge judy and chris matthews all in the last hours march has come in like a motherfucking lion
17,klobuchar buttigieg to join biden on stage on super tuesday eve 
18,buttigieg and klobuchar really playing dirty to make sure loses it feels like it’s the democratic part… 
19,"new article: klobuchar buttigieg to join biden on stage on super tuesday eve 

 

politics march "
20,"newsweek
 

mr president whyyyyy the president of the house said she would impeach u … "
21,bernie breaking up public enemy and inspiring biden buttigieg and klobuchar to join forces does not bode well
22,"flava flav chris matthews pete buttigieg amy klobuchar 

they all fucked around and found out bloomberg is… "
23,berniebros are getting screwed again the dnc got mayor pete and klobuchar to drop out before super tuesday d… 
24,sickening how all the alsoran candidates pete the cheat/petebot (buttigieg) klobocop/amybot (klobuchar) and beto… 
25,so buttigieg just endorsed biden klobuchar who dropped out today is set to endorse biden too it isn’t looking g… 
26,call to action: please text your warren friends and ask them to consider bernie w/ the bern app if you need help m… 
27,you've gotta be kidding me: i walk away from the laptop for bit and come back to klobuchar dropping into biden's la… 
28,"newsweek
 

mr president whyyyyy the president of the house said she would impeach u … "
29, smells like soros is back pete is getting a new house klobuchar is getting a new house ste… 
30,trump falsely accuses biden of quid pro quo after buttigieg and klobuchar drop out 
31, not so fast drops of klobuchar and buttigieg today both endorsed biden it is not a done deal
32,vote warren in minnesota the dnc pressured klobuchar and buttigieg to quit i'm upset about the upheaval
33, white centrist women are really really mad about this idea and its alleged sexism b… 
34,biden surges higher with klobuchar buttigieg endorsements 
35,with buttigieg klobuchar and beto endorsing within hrs it's crystal clear that the entire dem establishment cl… 
36,the dncrigging and elites final ditch effort to stop bernie the tap on the shoulder for buttigieg and klobuchar
37,"newsweek
 

mr president whyyyyy the president of the house said she would impeach u … "
38,capital punishment opponents amy klobuchar and pete buttigieg both endorse capital punishment supporter joe biden… 
39, that’s very amy klobuchar of you
40,if you’re not gonna vote for bernie tomorrow the least you can do is vote for amy klobuchar or pete buttigieg
41,joe biden campaigns with klobuchar & buttigieg in dallas 
42,breaking: amy klobuchar ends campaign | rational live via 
43,former candidate buttigieg joins klobuchar in endorsing joe biden 
44," factors: 

 it wasn’t that no one else could rise up it was that if we didn’t coalesce we risked a bernie nom… "
45,_leiss the only dem i'd have voted for would've been buttigieg or maybe klobuchar because they're t… 
46, _ if joe winsi hope he picks a smart strong vp like a harris klobuchar… 
47, yep i'm hopeful for the first time i'm especially impressed with pete & beto stepping up klobuch… 
48,it may seem like joe biden is set to have surprisingly strong showing on supertuesday what with these endorse… 
49,🔥🔥watch live: biden holds dallas rally with klobuchar beto & mayor pete’s endorsement on pbs newshour at :pm t… 
50,i meant to say klobuchar buttigieg and beto wtf jeez two amy klobuchars lol
51,"i'm really sad that amy klobuchar dropped out but i understand
so if amy's with joe i'm with joe 
biden will c… "
52, if you haven’t heard steyer buttigieg & klobuchar have all dropped out even money they all throw thei… 
53, he was screwed by late iowa primary tally too but i will always blame amy for his not winning big… 
54,klobuchar buttigieg to join biden on stage on super tuesday eve 
55,klobuchar buttigieg to join biden on stage on super tuesday eve 
56,apparently having voted for amy klobuchar or pete buttigieg damn 
57, i got a call from klobuchar's campaign this am and a text from bloomberg's this afternoon
58,what’s surprising about buttigieg and klobuchar backing biden they didn’t hide their politics why is this even a thing
59,ahead of supertuesday the top voter funded candidates have spent combined during the first four contests of… 
60," but it’s just not fair to be targeting one specific candidate 

warren in to split progressive vote (ber… "
61,"we can takie our country back 

beto
klobuchar 
buttigeig 

let’s do it 

 "
62,power's back on zombie klobuchar ads airing on tv
63, just saw a poll in which if picks up even half buttigieg and klobuchar supp… 
64,"""klobuchar and buttigieg dropping out on the same day what's going on""

""it's monday"" "
65,buttigieg/klobuchar/steyer combined aggregate approval % looks for biden past super tuesday when early voting ske… 
66, no way now that buttigieg & klobuchar are out she’s got a good chance still % of delegates up for… 
67,yo so i’ve been in the podcast studio all day but i hear chris matthews is no longer in the running for president… 
68, i think buttigieg will be his vp pics going around and he's gushing over pete where's… 
69,"beto buttigieg klobuchar

they’re all in for biden go joe"
70, he’s already got klobuchar mayor pete and beto
71,hey they are waiting for you klobuchar 
