,text
0,"i'm going to bet that most warren supporters would not automatically vote bernie if she dropped/had dropped

after… "
1, from my perspective msnbc particularly rachel have gone overboard talking up sanders in comparison to the other candidates
2,sanders learned for the first time today from a reporter in this room that mike bloomberg has dropped out of the race and endorsed biden
3,on dropping out sanders says this question from a reporter is the first he's hearing about it
4, compares the dem establishment's coalescence behind biden & contra sanders as a kind of selffulfill… 
5,that left five states all of which are relatively close races where biden and sanders are separated by an average of at least % /
6, there’s also the possibility that sanders or biden implode in one way or another in the coming mon… 
7,"what has bloomberg brought to this race

bernie: he has brought a lot of money to this race this just confirms… "
8,_macbarf sanders literally has the entire media against him not a fair fight
9, if she drops out people are expecting her to endorse a candidate if she doesn’t endorse she will be… 
10,if sanders wins the democratic nomination do not try to reach me for a week after election day i'll be taking the… 
11,saying that his mind has not changed on whether a plurality of delegates should be enough to win the nomination sa… 
12, bernie sanders is no dick gephardt and michigan is not michigan where gephardt got only… 
13,_sistah biden's campaign offices which sanders stans camped out in to disrupt him rather than try… 
14, did you watch bernie sanders press conference i think he is making another error “i like joe biden… 
15, the only one that i'd say sanders is guaranteed a victory in is nd they still have a caucus i believe
16, the timing was terrible for her and great for sanders that was the day her campaign died
17," 
sanders had big ideas but little impact on capitol hill"
18,"_sanders he does not hear it
""corr please i want to talk to you""
he bite his lip making it bleed from hi… "
19,"bernie sanders did not know mike bloomberg had dropped out of the race

he found out after being asked a question… "
20,"kiddos if you want to elect heart attack santa you have to actually show up 

"
21,can bernie sanders be stopped via 
22,i'll subscribe to theblaze steven crowder eric bolling and ben shapiro on twitter and youtube and praise them fo… 
23, why are all sanders supporters like this it sta… 
24, annnnnnnd how exactly is sanders like trump
25, this is what happens to almost everyone who had ever worked for you you love them at first then… 
26,bernie sanders has clearly lost his damn mind
27,"and yesterday warren people were onhere pushing that sanders should drop out and endorse warren 

foh "
28, thank you for your contribution to this race it’s time you endorse bernie sanders medicareforall feelthebern dropoutliz
29,_it everything you cite is due to the judiciary mcconnell is the one… 
30, warren and bernie may both be progressives but they are worlds apart i’m a warren supporter and i wi… 
31, just like trump if something does not go sanders' way its a democratic conspiracy but should things… 
32,joe buttden buttie sanders elizabutt warren
33, that line is a not so subtle message to warren to get out of the race because she has no… 
34,my feelings exactly sanders supporters should pay heed biden supporters will 
35,"swing voters he's a socialist and i'm not will moderates warm up to bernie sanders as super tuesday approaches

th… "
