,text
0, bernie he's a great bullhorn but he's terrible at getting things done… 
1, i voted warren but i can still say that bernie supporters have a point about this i'm done with the party after nov
2,this he’s really not very bright he has the same talking points the same dogma the same schtick over and over… 
3, _veritas you v… 
4, i had some friends tell me that warren is their st choice and many voted for her bernie is none of the… 
5,elizabeth warren has been my candidate since before day one and now i'm waiting for her next step 
6, so i know bernie has more voters behind him than warren but for me warren is the better candidate… 
7, wait it’s bernie sanders’s fault for me having this conversation wit… 
8,sick of these white feminists shaming ppl who do not support or want to vote for warren by trying to accuse them of… 
9, voted biden warren was next then bloomberg and bernie as last resort
10," i do not understand how you go from ""bernie's ideas inspired me"" to ""i loved the specificity behind war… "
11,if warren was really for the causes she champions she would drop out and support bernie warrendropout
12, because if we donate miles of railroad a monopoly on railroad derailment along with the law… 
13, warren will be out by saturday she is in negotiations now with both camps
14, biden does not support ma does not support student debt forgiveness does not support stro… 
15,: if you really want to save the young voter you need to drop out and back there is no way… 
16, i voted for warren she knows how to take a man down
17, i voted for warren knowing that she did not have much of a chance because i've felt the primary is a… 
18, warren might actually endorse bernie tho
19, i do believe however that something like % of bernie supporters in voted… 
20, elizabeth warren as vp
21, elizabeth warren is my first choice but if she drops out i’ll be voting for biden biden may not be… 
22,let's see warren lied about her heritage lied about losing her job due to her pregnancy lied about sending your… 
23, _skibenes the best person is a woman warren
24,mommy needs to stop punishing me for being a bad bad boy sorry i mean elizabeth warren needs to drop out of the race
25,if people get polled on presidential candidatea and one of the candidates is not an option will not people think mayb… 
26, i really hope warren either stays in or does not endorse bernie if she drops because i can not get behind th… 
27, warren supporters are not necessarily going to bernie
28, yup warren and sanders that wealth tax to him is about power not money
29,"warren can make a deal with hillary's dnc for her to be the ""only one who can unite the two wings of the party"" fol… "
30, same with me nancymary if warren is still in it next week i… 
31,"warren's supporters are a living headache
fuck fake progressives"
32, back biden he did not tell her a woman can not be president and then lie about it plus warren is a capitalist not a bernie
33, very good point tbh biden could sway a lot of younger voters with warren as his vp
34, why do you all assume warren supporters would ever join you every warren supporter i know including m… 
35, warren's ostensible plans are medium blog posts they serve as a gimmick for people to use as a… 
36,“warren buffett did not amass his fortune by following the herd but by leading it before taking his advice to buy… 
37,warren sexy swingers ohio sexy swingers 
38,_petkanas if warren wants to go to biden i say go liz do what you need to do i was a fierce warre… 
39, not to mention warren literally got into politics to fight the bankruptcy bill biden was pushing
40, having cast my vote for warren this week i'm bummed but will absolutely vote for either bernie or biden
41,as a warren supporter this 👇🏻 
42, you were always going to go to biden after warren’s campaign tanked this is just the excuse you’re justifying it with
43,you'll have to excuse me if i'm still in mourning over the candidacies of harris castro booker and yes warren… 
44,"i like how this fool has basically made warren's choice clear as fuck: her career or her principles 

excuse me if… "
45,anyway i voted for warren fight me at ur own fucking risk
46, i can’t wait to see which jackasses spam snake emojis which ones act fakeconciliatory & say that war… 
47, i disagree we actually do need a woman with the polic… 
48, not sure what you’re talking about but a woman may simply have different criticisms warren su… 
49,if you're a warren supporter the candidate who agrees with warren the most is bernie they agree with each other o… 
50, such as please do not say warren
51,elizabeth warren is not a spoiler she is not a mole & she is not a snake for years pre she was one of only two… 
52, if warren voters are not willing to support the angry white guy who… 
53, hi i’m a warren democrat from progressive as hell seattle and i support this message
54, can i ask the question what if warren endorses biden what then bc is she drops out and endorses bid… 
55,twitter is full of people being nasty to each other over their preferred political candidate lots of sanders vs w… 
56,i agree with you on warren i was with her too i determined that biden was the path forward and able to draw broad… 
57,"dear neverbernie people talking about sexism hurting warren's campaign you're absolutely correct but

ple… "
58, stop please laying warren’s failure on misogyny is crying wolf fairness requires that failed candida… 
59, well you are allowed to talk bad about warren 😂
60,warren when she gets invited to bernie headquarters 
61, if warren side with sanders it will ensure a division that would be almost impossible to cement before november
62," vp kamala harris 
romney treasury 
bloomberg commerce
warren education… "
63,elizabeth warren can fuck right off it’s not an apology if she refuses to acknowledge that she isn’t native it’s… 
64," _of_mark it can happen these things would guarantee bernie wins it all:
 warr… "
65, i'm a warren supporter and honestly that's not a great sellin… 
66,_mainza it's statistically unlikely we'll be able to unseat an incumbent anyway… 
67, the most recent stats say that bernie would’ve at most gotten % of warren’s votes so he wouldn’t… 
68,"report: warren to meet with staff to ""gauge her remaining chances"" "
69, why which of his policies echo warren's
70, warren lost her progressive credentials when she focused on getting herself a chair in the democra… 
71, so warren or bust you don’t think having bernie fight for our interests and… 
72,constantly gotta remind ourselves that we each are in our own social media bubbles we can be tricked into believin… 
73, _drums charlotte supports warren… 
74,"here's an exhaustive list of your options :

 um none

 "
75,"my joey coming online to post about his job then fuccing awf why i win like this 
you can tell that warren finis… "
76, i did not vote for warren because there was no vote here but i would have if i could have
77,bernie broke a historic record winning the first three states and after yesterday he and biden will be tied in del… 
78, warren voter here she has the passion and plans and can rip apart trump in any debate… 
79,i just cannot for the life of me understand the mindset of someone who is threatening to vote for biden instead of… 
80, you should hear … 
81, _bastone warren is incredibly intelligent and has a lot of accomplishm… 
82,i do not think any democrat as president would veto healthcare marijuana legalization civil rights etc however… 
83, from your lips i do know bernie supporters have stop attacking w… 
84,let’s raise a glass to warren 
85, they’re not far left bernie is an fdrdemocrat he’s simply looking for a little more fairness in… 
86," sorry robert i have been big on warren for a while i would switch to biden in a heartbeat

you obvious… "
87, well warren could still help bernie if she wants to 😂😂😂
88, y’all act like warren larping as a native for years actually makes her anything other than white
89,bernie’s best shot now seems to offer warren the vp which could galvanize and expand his support despite warren’s… 
90,i have been very interested in warren (and sent her money) and i just voted for biden you are exactly right that… 
91, or the election the way warren's been treated women putting their armor on
92, there’s a list of reasons & people that out perform sen warren as vp she might fair well in a c… 
93, i agree 💯 i was texting for warren and had so many negative interactions with bernie supporters… 
94,as someone who doesn’t vote for a while and will probably be stuck with only choices i’ll vote bernie but all o… 
95, how about if bernie drops out would warren have a chance
96, reforming an institution so dedicated to cruelty is a fool's errand and in purs… 
97,_ elizabeth warren and ralph nader
98, we can’t afford to give up warren’s senate seat
99, exactly right so sad that more didn’t vote for warren
100, just what i wand warren involved or getting a cabinet job
101,"i never know what i'll do when i get to the ballot box
i probably would not have felt horrible about myself hittin… "
102,bernie and warren have both failed to explain this simply in the debates imo
103,_kanefield stacey abrams she’d be next in line for the presidency making the path for a female president ma… 
104,i’m kinda sad about warren’s campaign 
105,"sanders on maddow ""joe biden & i are friends"" if true then are his ""bros"" attacking biden on a daily basis btw… "
106, elizabeth warren is a fraud; was going nowhere until she started “checking the box” as a nat… 
107, and biden is a progressive with what would be the most progressive presidential platform in his… 
108,from the same campaign that has been going on nonstop about “all those problems with warren’s integrity” 
109, now y’all know damn well— khanna and warren shouldn’t be on this list 
110," i voted warren and i choose bernie over biden because calling people ""fat"" and ""lying dog faced p… "
111,"_ in the general rachel maddow show //

"
112,why i would vote sanders or warren over biden 
113, how many of us have to scream that we would go from warren to biden till yo… 
114,all these womens were stanning hillary in and they're stanning in elizabeth warren in americans really can not do anything right
115, warren is not some “system” wth is wrong with you people she should give up her dream of becoming pre… 
116, besides warren preemptively appointing a cabinet sounds like political trades for clout more than focusing on her ideals
117,_sushi only warren has the right to run
118," no but i can bet there is either a warren endorsement or a pinned kos tweet

no offense but just be… "
119,hands down elizabeth warren was the best dem party candidate 
120,catching up on rachel maddow did bernie just attempt to take half the credit for elizabeth warren’s cent wealth tax
121," oh and to clarify
switching from warren to bernie on primary electability grounds is different than… "
122, there was a decent amount of time that warren was in first and second
123, i will support him even if warren joins we need all the help we can get to combat biden's media narrative
124,if elizabeth warren drops out and endorses biden ima lose my shit
125, win with warren that's fantastic win what a set of bath towels 
126,"my voting life: 
' */kerry
‘ */obama
‘ obama
‘ kasich (to vote against trump)/clinton
‘ warren/ 

i know… "
127, sorry that was directed at the small person who wrote the backstabber commen… 
128,i voted for warren biden was my nd choice warren likely took more votes from biden than bernie 
129,twitter reacts to antidairy protesters at super tuesday campaign events 
130,the airing of grievances is underway as bernie bros declare war on elizabeth warren via icymi 
131, _ari and warren voters wanted substance all be… 
132,a narrative about bernie is the as vernon reid called it big papa vibe my impression for a long time now (as a l… 
133, we need a bernie sanders / warren coalition to take on biden
134,do you mean warren and the tribal chiefs are meeting in a deeper to decide ways to screw sanders 
135,it’s important to note that you should not judge a candidate by their worst most fucking insufferable online conti… 
136, would that apply to biden and warren as well
137, warren got hammered for staying neutral as long as she did this is a misrepresentation of truth t… 
138, yeah i agree those attacks on warren will not solve anything but the part that's hard to see online is the… 
139," in what way is warren a ""fake progressive"""
140,_ lol if i said this about warren it would be bernie bro bernie b… 
141, actually the sanders campaign has been pressuring warren to support th… 
142, biden/harris sanders/warren this would be a very tough decision
143, i know a lot of women who very much want to vote for a woman i cannot speak for all women or even fo… 
144, warren made the mistake of supporting sanders for too long she would have been so much better
145, so are you saying that elizabeth warren is equivalent to hilter i don’t understand c… 
146,warren reassesses path forward after dismal super tuesday 
147, wouldn’t make a difference why mi voters will never forget what biden has done for their state with… 
148,"also it's late so i guess warren's not dropping out today
gonna hold off up till next week 🙄🙄🙄"
149,elizabeth warren's white house run was in serious doubt after she finished a surprisingly weak third in super tuesd… 
150,"ingrahamangle they're actually trying to spin this as an organic groundswell for biden
it was carefully orchestrat… "
151,also why are these warren supporters directing a lot of their hate towards bernie hate biden he’s the mediocre wh… 
152, biden/warren works for me
153, warren was my but i didn’t see a path so after pete endorsed joe i thre… 
154, will this morning i announced i am going to support biden i still believe warren was the best choi… 
155, _jay only someone in a privileged position would consider warren a be… 
156,i want that warren back in congress 
157,this will likely piss some people off but at this point i would lose a little bit of respect for warren if she end… 
158,i hope everyone who is upset with warren not winning due to gender hops on board the train in 
159,weird picking who to vote for bernie is a socialist trump is insane and biden appears to have early symptoms o… 
160,bernie & trump are sides of the same coin with their own cults i have no doubt knows her rock solid… 
161,my mom said im becoming a “bernie bot” because i said its embarassing that warren pretended to be native and i hate… 
162,if warren endorses bernie we need to be kind and let them know we are in the same together we both have many of th… 
163, did you like warren's progressive policies or not
164, i'm not bernie or bust i would vote for warren or gabbard in addition to many of the candidates who h… 
165, or what if bernie threw his support behind warren
166, sanders campaign has never claimed she is not progressive eve… 
167," this is the poll i'm referring too maybe more passionate than ""worse"" but i do not see… "
