,text
0,_sammich kamala was the only candidate worse than bernie imo i'm actually shocked the most by how bad chief warren is doing
1, all going according to plan at nate silver's but let's see if the establishment's power play… 
2,"don’t give up on warren she hasn’t given up on you

warren
lfg"
3, i get that i'm just curious what the differences are that make you prefer her despite her being essential… 
4, good after tomorrow warren should drop out and endorse bernie and bloomberg needs to drop out… 
5, that’s in no way warren or sanders bloomberg is your best bet he can sway the voters from red to blue
6, i am with you on warren
7, stfudamn it rob i thought you of all men would get behind having a woman candidate for president el… 
8," emily warren ⁉️reallyyikes
adios and kissm’en tuchas 🤦🏻‍♀️"
9,if warren truly wants to be the nominee she has to be willing to do what's necessary to beat sanders: which means… 
10,"gonna go out on a limb and predict this order re total delegates won on supertuesday:

 biden
 bernie
 bloomberg 
 warren"
11, philosopher drucillacornell on elizabeth warren at the… 
12, just vote for whoever you want to brah like warren then vote for her like bernie then vote for h… 
13,"“a vote for warren is a vote for biden”

 no and considering biden is now my second choice it would be fine if yes"
14,"man oh man these sudden endorsements for biden from beto amy and presumably mayor pete sure are timely

shit non… "
15," oh but it is was mad chris was ""mean"" to warren so the misandrist tart decided to weap… "
16,i’m voting for elizabeth warren i believe in her so strongly i joined her texting campaign as a volunteer (someth… 
17,i am with warren the media did the job of questioning her electability so people who would have voted for her are… 
18, how about we choose the progressive that can actually win elizabeth warren is not projected… 
19, a warren/castro ticket would make me happycry that administration would b… 
20,do you want to know why amy and pete are out the dnc is a controlling forcepulling the reigns to control the vote… 
21, i voted for warren already i will vote blue
22," sanders needs delegates to win
biden needs 
warren needs 
this is… "
23, so what it’s not illegal to drop out for the good of the party they’re all moderates they’re a… 
24,"man chuck wendig calling people sexist for telling warren to drop is hilarious but also damn i like his books

m… "
25, it's because of this insidious bs that i'm voting for liz warren
26, we need warren we need someone who has actual plans and can get things done
27,"if i continue giving my support to warren i am “selfish & delusional”

if i choose to put my support behind bernie… "
28,join tonight's call to hear the plan for the warren campaign during march and beyond you'll hear from … 
29,if you choose warren tomm it’s a wasted vote i’m tired and it’s the truth
30, castro gillibrand inslee even klobuchar beto et al were more a… 
31,most warren supporters are caring thoughtful smart people with good intentions but the reality is she has no pat… 
32,_agust if warren was a true progressive she would quit and endorse sanders she is not
33,"""warren engineered bloomberg's fall from grace almost singlehandedly—proof positive that she has exactly what it t… "
34,no matter your sentiments of this issue is definitely important to keep in mind & to push warren to impro… 
35," pardon me what

 an elizabeth warren voter"
36,noooooooo come onnnnnnnnn can everyone just get behind warren or bernie or else shit ain’t gonna happen 
37, of course even that poll was taken before buttigieg and klobuchar dropped out so there’s no telling… 
38, good call only sanders and warren are left in the primary so this makes a lot of sense
39,i believe with all my heart that elizabeth warren would be a terrific president for all americans which is why i j… 
40,_ek for what it’s worth (and i love warren) i live in vt sanders is my senator he is every bit as authentic… 
41,all they need is warren to close the circle it really is notmeus vs the world 
42, warren supporters don’t act like this either whatever they are they can eat shit
43,"oh but it is was mad chris was ""mean"" to warren so the misandrist tart decided to weaponize it and mag… "
44,)explaining to my aunt that elizabeth warren has true ravenclaw energy) 
45, i’ll make an exception and retweet for her actually getting the question right after framing… 
46,_smear i would have to find the video online it was at an la event last november or october i do not remember… 
47, warren just isn’t a progressive she can be but she’s not right now
48, which is really bad because warren has no chance to win and is simply simply splitting the progressi… 
49,this is warren’s time to come through and snatch that top spot
50, don’t leave no i saw the moment with elizabeth warren who’s my number one you did fine you were… 
51,"elizabeth warren has my vote because i truly believe she’s the president we need 

i hope you consider voting for… "
52," ""if no candidate receives votes during the first roll call of states pledged d… "
