,text
0,oh em gee supertuesday why is brazile on tonight you are beneath contempt
1,american samoans great at making cookies terrible at picking candidates supertuesday
2,lord of light i can’t with this supertuesday
3,honestly what is going to make or break sanders post supertuesday is what is the money situation going to look… 
4,"warren can not throw bernie delegates if she does not have any just a thought

supertuesday"
5,"bloomberg is nd in texas bernie st

wtf texas

supertuesday"
6," bloomberg wins american samoa

 percent vote or votes rep tulsi gabbard dhawaii who wa… "
7,shoutout to my supertuesday voters and primary ivoted ✅ 
8,i understand we all have different lived experiences which may lead us to different choices in the ballot box but… 
9,we've got your st cloudarea minnesotaprimary supertuesday results here 
10,"supertuesday 

reminder to voters in the midsection and western swing states 

💥🔥if you are in line stay i… "
11,imagine being so rich you spent million to win american samoa supertuesday bloomberg
12,you know @ i are ready to turntexasblue check out this video if you need some entertainment in… 
13,serious question: what happened to all of the younger voters supertuesday
14,ron swanson voted for do you need to be convinced any further votewarren supertuesday 
15, time for you to drop out of the race endorse supertuesday supertuesday biden
16,why in the world is gabbard still in this supertuesday
17,sleepyjoe supertuesday supertuesday : biden takes alabama north carolina and virginia and the delegate le… 
18,trump i don’t care what you think supertuesday
19,why is tulsi gabbard still in this race supertuesday
20,supertuesday let's go bernie pls everyone please 
21,"north carolina democratic primary 

✅biden %
sanders %
bloomberg %
warren %

% of preci… "
22,i’m at work and my lovely man is updating me but tell me how exactly are things going supertuesday
23,"supertuesday supertuesdayresults 

me watching the results: "
24,"how is elizabethwarren losing in her own state jesus smh 

supertuesday supertuesday"
25,bernie does better with younger voters and biden better with older voters the older voters came out more than t… 
26,"stay in line guys please
this is the fight of our lives 
supertuesday "
27,"texas latinxforbernie 

 notmeus 

bernieinvt  berniesanderswiththesehands

berniesanders bernie… "
28,bloomberg is to biden what warren is to sanders supertuesday
29,"south carolina going down in history 
supertuesday"
30,wait you mean biden is ahead in the places that democrats need to win to get back the presidency you don’t say … 
31,the places biden is winning always vote red it doesn’t matter due to electoral college let’s see what happens in… 
32, so the th grader is working on algebra and updating her whiteboard with delegates in r… 
33,"sexism is a helluva drug

supertuesday"
34,"psst moderate or centrist democrats are republicans

pass it on

supertuesday"
35,how is it that reports tennessee without mentioning how many people could note vote because of tornadoes supertuesday
36,if biden wins massachusetts that would be so embarrassing for sanders and warren supertuesdsy supertuesday… 
37,"although 
is sanders going to take texas 
supertuesday"
38,the coverage of the delegates tonight on nbc is completely biased toward joe biden nothing but talking about sande… 
39, and can we use different colors on the map different shades of blue to distinguish between can… 
40,bloomberg wins something out of interest what's the going rate for american samoa these days supertuesday 
41,big winner tonight conservative hack she did what she was ordered to do take delegates away from… 
42,tulsi gabbard playing the long game lmfao if warren and bloomberg dropped out the next debate would be biden bern… 
43,"i'm on the same ballot as this is a win all by itself

supertuesday bernie withthesehands "
44, wondering where all my fans are seems pretty quiet wondering if you… 
45,and in all honesty the rich folks from the suburbs will probably be just fine under four more years of trump so l… 
46,could bernie actually win tennessee and oklahoma because bloomberg siphoned enough from biden supertuesday
47,the usa is in desperate need of a third party supertuesday
